"species","island","bill_len","bill_dep","flipper_len","body_mass","sex","year"
"Adelie","Torgersen",37.8,17.1,186,3300,,2007
"Chinstrap","Dream",54.2,20.8,201,4300,"male",2008
"Adelie","Dream",36.2,17.3,187,3300,"female",2008
"Chinstrap","Dream",52,19,197,4150,"male",2007
"Gentoo","Biscoe",45.3,13.7,210,4300,"female",2008
"Gentoo","Biscoe",,,,,,2009
"Adelie","Torgersen",42.5,20.7,197,4500,"male",2007
"Gentoo","Biscoe",48.5,15,219,4850,"female",2009
"Chinstrap","Dream",46.5,17.9,192,3500,"female",2007
"Gentoo","Biscoe",46.9,14.6,222,4875,"female",2009
"Chinstrap","Dream",50.9,19.1,196,3550,"male",2008
"Chinstrap","Dream",51.3,18.2,197,3750,"male",2007
"Adelie","Biscoe",39.7,17.7,193,3200,"female",2009
"Gentoo","Biscoe",51.5,16.3,230,5500,"male",2009
"Adelie","Biscoe",39,17.5,186,3550,"female",2008
"Gentoo","Biscoe",46.7,15.3,219,5200,"male",2007
"Adelie","Torgersen",41.1,17.6,182,3200,"female",2007
"Adelie","Dream",40.3,18.5,196,4350,"male",2008
"Gentoo","Biscoe",45.8,14.2,219,4700,"female",2008
"Gentoo","Biscoe",46.8,15.4,215,5150,"male",2007
"Chinstrap","Dream",50.5,18.4,200,3400,"female",2008
"Gentoo","Biscoe",48.4,14.4,203,4625,"female",2009
"Adelie","Torgersen",38.9,17.8,181,3625,"female",2007
"Adelie","Torgersen",42.9,17.6,196,4700,"male",2008
"Adelie","Dream",36.3,19.5,190,3800,"male",2008
"Gentoo","Biscoe",45.8,14.6,210,4200,"female",2007
"Gentoo","Biscoe",48.1,15.1,209,5500,"male",2009
"Gentoo","Biscoe",48.2,14.3,210,4600,"female",2007
"Gentoo","Biscoe",53.4,15.8,219,5500,"male",2009
"Chinstrap","Dream",45.2,17.8,198,3950,"female",2007
"Adelie","Dream",37.3,16.8,192,3000,"female",2009
"Gentoo","Biscoe",50.8,17.3,228,5600,"male",2009
"Adelie","Biscoe",37.6,19.1,194,3750,"male",2008
"Adelie","Dream",42.3,21.2,191,4150,"male",2007
"Adelie","Torgersen",39,17.1,191,3050,"female",2009
"Chinstrap","Dream",45.7,17,195,3650,"female",2009
"Gentoo","Biscoe",52.2,17.1,228,5400,"male",2009
"Gentoo","Biscoe",43.2,14.5,208,4450,"female",2008
"Gentoo","Biscoe",46.2,14.1,217,4375,"female",2009
"Chinstrap","Dream",49.6,18.2,193,3775,"male",2009
"Gentoo","Biscoe",54.3,15.7,231,5650,"male",2008
"Chinstrap","Dream",58,17.8,181,3700,"female",2007
"Gentoo","Biscoe",51.3,14.2,218,5300,"male",2009
"Chinstrap","Dream",43.2,16.6,187,2900,"female",2007
"Adelie","Biscoe",37.9,18.6,193,2925,"female",2009
"Chinstrap","Dream",50.8,19,210,4100,"male",2009
"Adelie","Biscoe",41.4,18.6,191,3700,"male",2008
"Gentoo","Biscoe",52.5,15.6,221,5450,"male",2009
"Adelie","Torgersen",40.6,19,199,4000,"male",2009
"Adelie","Torgersen",41.8,19.4,198,4450,"male",2008
"Gentoo","Biscoe",46.8,16.1,215,5500,"male",2009
"Adelie","Torgersen",35.9,16.6,190,3050,"female",2008
"Adelie","Dream",44.1,19.7,196,4400,"male",2007
"Adelie","Dream",36,17.1,187,3700,"female",2009
"Adelie","Biscoe",39.6,20.7,191,3900,"female",2009
"Gentoo","Biscoe",46.5,13.5,210,4550,"female",2007
"Gentoo","Biscoe",55.9,17,228,5600,"male",2009
"Adelie","Torgersen",34.6,21.1,198,4400,"male",2007
"Adelie","Torgersen",42.1,19.1,195,4000,"male",2008
"Gentoo","Biscoe",47.4,14.6,212,4725,"female",2009
