variate,type,min,max,precision
age,real,40,100,
sex,binary,0,1,
group,binary,0,1,
EHI_right,integer,0,20,
EHI_left,integer,0,20,
EHI_LQ,real,-100,100,
edu_primary,integer,0,15,
edu_secondary,integer,0,15,
edu_university,integer,0,15,
subcog_mem,binary,0,1,
subcog_conc,binary,0,1,
DS_forward,integer,0,16,
DS_reverse,integer,0,16,
DS_seq,integer,0,16,
CWIT_2,real,0,Inf,
CWIT_3,real,0,Inf,
CWIT_4,real,0,Inf,
ERT_med_rt_overall,real,0,,
ERT_total_hits,integer,0,,
OTS_mean_lat_first_overall,real,0,,
OTS_cor_first,integer,0,,
PRM_mean_lat_delayed,real,0,,
PRM_cor_delayed,real,0,100,
RTI_mean_react_time,real,0,,
RTI_total_errors,integer,0,,
RVP_detection,real,0,1,
RVP_mean_lat_cor,real,0,,
SSP_forw_length,integer,0,,
Total_Z_sum,real,-Inf,Inf,
Total_Z_mean,real,-Inf,Inf,
Total_Q_points,real,17,68,
DMN_T_CPL,real,0,Inf,
DMN_T_CC,real,0,Inf,
DMN_A_CPL,real,0,Inf,
DMN_A_CC,real,0,Inf,
DMN_B_CPL,real,0,Inf,
DMN_B_CC,real,0,Inf,
DMN_G_CPL,real,0,Inf,
DMN_G_CC,real,0,Inf,
CEN_T_CPL,real,0,Inf,
CEN_T_CC,real,0,Inf,
CEN_A_CPL,real,0,Inf,
CEN_A_CC,real,0,Inf,
CEN_B_CPL,real,0,Inf,
CEN_B_CC,real,0,Inf,
CEN_G_CPL,real,0,Inf,
CEN_G_CC,real,0,Inf,
SN_T_CPL,real,0,Inf,
SN_T_CC,real,0,Inf,
SN_A_CPL,real,0,Inf,
SN_A_CC,real,0,Inf,
SN_B_CPL,real,0,Inf,
SN_B_CC,real,0,Inf,
SN_G_CPL,real,0,Inf,
SN_G_CC,real,0,Inf,
